flag	content
bnyIntro1	Wait-
bnyIntro2	Is that my microphone? How the hell did you get that?
bnyIntro3	and what is that WORM doing here?!
bnyIntro4	bep-
bnyIntro5	Didn't have enough fun making a fool of me last time you showed up?
bnyIntro6	Now you're bringing more of your hideously attractive friends here to mock me once again?
bnyIntro7	Hey, its not-
bnyIntro8	You. Give me that back. I have another score to settle.
bnyIntro9	Huh? No, wait, I was just about to-
bnyIntro10	I said GIVE IT!
bnyIntro11	N-no!
bnyEnd1	First you steal my things, and then you pull something like that?
bnyEnd2	Who do you think you are?
bnyEnd3	Now, step aside.
bnyEnd4	...ahaha.
bnyEnd5	I don't think I will.
bnyEnd6	You on the other hand-
bnyEnd7	What are you-
