flag	content
hscIntro1	...huh?
hscIntro2	I thought... they deleted me. After what I did to my friends.
hscIntro3	-but where am I now?
hscIntro4	Beep!
hscIntro5	-Oh! Hello?
hscIntro6	Skee dep boop!
hscIntro7	You wanna sing?
hscIntro8	Beep dai!
hscIntro9	...Things are happening really fast.
hscIntro10	-but you know what?
hscIntro11	I'd love to!
hscIntro12	Usually I'd play piano while I sing, but this isn't a bad change of pace.
hscIntro13	So... Yeah!
hscEnd1	Skdee bep!
hscEnd2	You kept up really well with my song!
hscEnd3	Ah, I haven't felt this happy in a while!
hscEnd4	Could we sing again?
hscEnd5	Beep!
hscEnd6	Alright! Here we go-
hscEnd7	Who the hell are you?!
hscEnd8	-huh?
