flag	content
sweeIntro1	<Q>...okay, you’ve convinced me.<Q>
sweeIntro2	<Q>Oh?<Q>
sweeIntro3	<Q>You better not tell this to ANYONE, but I sometimes sing in front of the mirror into my hairbrush.<Q>
sweeIntro4	<Q>Only when my dad isn’t home though.<Q>
sweeIntro5	<Q>...uhuhu.<Q>
sweeIntro6	<Q>Hey! I heard that, you know!<Q>
sweeIntro7	<Q>Its just... picturing you doing that, its quite an adorable mental image.<Q>
sweeIntro8	<Q>S-shut it! And stop calling me cute! I-I’m not cute.<Q>
sweeIntro9	<Q>Ugh, I shouldn’t have said anything.<Q>
sweeIntro10	<Q>Let’s just get this started.<Q>
