flag	content
neetIntro1	<Q>Ah, good thing I caught you guys at a good time. I heard from the others that you'll be leaving the club for a while after today.<Q>
neetIntro2	<Q>We didn't exactly see each other much aside from the festival, so I wanted to say goodbye just in case.<Q>
neetIntro3	<Q>I've also been meaning to ask you something too. Some advice, to be specific.<Q>
neetIntro4	<Q>Bee boop?<Q>
neetIntro5	<Q>I didn't expect to enjoy my time here in the club so much. Writing poems and helping set up these special events and just getting to know all the other club members is definitely something I needed.<Q>
neetIntro6	<Q>Otherwise, I would've been stuck in my room for the rest of my life being a 'NEET', as Sayori would say.<Q>
neetIntro7	<Q>Joining the Literature Club did come with a pretty nice extra benefit too.<Q>
neetIntro8	<Q>I'm sure you've already noticed, but this club-<Q>
neetIntro9	<Q>-is full of incredibly cute girls.<Q>
neetIntro10	<Q>You already got yourself a girlfriend, so I wanted to ask if you, by chance, have any advice for someone like me who may pursue romance?<Q>
neetIntro11	<Q>De skeet.<Q>
neetIntro12	<Q>...sing? That seems like your response to every life problem.<Q>
neetIntro13	<Q>Girls aren't that simple, y'know. Plus, I've told you before, I'm not gonna embarrass myself trying to sing in front of them.<Q>
neetIntro14	*stare*
neetIntro15	<Q>No.<Q>
neetIntro16	<Q>Stop that.<Q>
neetIntro17	*intense unbreaking eye contact*
neetIntro18	<Q>...ghh-!<Q>
neetIntro19	<Q>F-fine! I'll give singing a shot.<Q>
neetIntro20	(I can't believe staredowns are all it takes to get me to do things-)
neetIntro21	(Though if this ends up like how me joining the club turned out, this could end up working out in the end.)
neetIntro22	<Q>Can you give me some pointers at least?<Q>
neetIntro23	*cheer*
neetIntro24	<Q>Skee yeah!<Q>
neetEnd1	<Q>Wow, that was a lot more fun than I thought. Didn't do half bad myself, I think.<Q>
neetEnd2	<Q>You did amazing!<Q>
neetEnd3	<Q>Heh, thank you Sayo-<Q>
neetEnd4	<Q>-wait...<Q>
neetEnd5	<Q>You were really holding out on us this long, hmm? We've been trying to get you to join us for ages!<Q>
neetEnd6	<Q>How long have you guys been here?!<Q>
neetEnd7	<Q>Hahaha! We've been here for a while. I can't believe you were so into it that you didn't notice.<Q>
neetEnd8	<Q>hrk-!<Q>
neetEnd9	<Q>Your singing voice is just as naturally confident as your poem reading voice.<Q>
neetEnd10	<Q>Skep de bop, bedeep?~<Q>
neetEnd11	(Translation) What did I tell you, broski?
neetEnd12	(There's no way that actually worked, right..?)
