flag	content
recoIntro1	<Q>Monika! We've been waiting for you!<Q>
recoIntro2	<Q>It's not like you to be this late to a club meeting!<Q>
recoIntro3	<Q>It appears that you've brought some new members with you too.<Q>
recoIntro4	<Q>Seriously, Monika? You brought a boy?<Q>
recoIntro5	<Q>Well, at least you found another girl too.<Q>
recoIntro6	(One who doesn't make me feel so small compared to the rest of you.)
recoIntro7	<Q>Oh! I-<Q>
recoIntro8	*stare*
recoIntro9	<Q>...hello, you two. It's been a while.<Q>
recoIntro10	<Q>Bep.<Q>
recoIntro11	<Q>I'm sorry for what I did before.<Q>
recoIntro12	<Q>And I'm sorry for inadvertently putting you in another situation just like that soon after-<Q>
recoIntro13	<Q>-but now that I'm here, everything should be stable.<Q>
recoIntro14	<Q>I don't expect you to forgive me... but I'm glad you two are safe now.<Q>
recoIntro15	<Q>Ska dee beep!<Q>
recoIntro16	<Q>Ahaha... You have no idea how happy I am to hear that.<Q>
recoIntro17	<Q>Okay, everyone!<Q>
recoIntro18	<Q>I'd like you to meet the newest members of the Literature Club!<Q>
recoIntro19	<Q>And I've got a fun way I'd like to introduce them.<Q>
recoIntro20	<Q>Hey, despite all that stressful stuff that just happened-<Q>
recoIntro21	<Q>-you have enough energy left for one more song?<Q>
recoIntro22	<Q>Ska dee beep!<Q>
recoIntro23	<Q>Then let's do it!<Q>
