flag	content
yamEnd1	The positivity that club gave everyone involved continued to nurture a stunning flower of friendship amongst the club members.
yamEnd2	Even outside the clubroom, the group was almost never seen apart from each other.
yamEnd3	It was only a matter of time to see what would bloom next for the Literature Club.
yamEnd4	But for now, days of pleasant normalcy awaited them.
yamEnd5	-Or so they thought.
yamEnd6	<Q>Skee yeah!<Q>
yamEnd7	Boyfriend and Girlfriend, seemingly appearing out of thin air, reached out to the group, wanting them to follow.
yamEnd8	One by one, the group followed the two into the white light, and what they would see next...
yamEnd9	<Q>Where… are we?<Q>
yamEnd10	<Q>Woah! I’ve never visited the city before!<Q>
yamEnd11	<Q>Oh my, what a lovely display of lights.<Q>
yamEnd12	<Q>What the- how did we get here so fast? And wasn’t it still daylight a minute ago?<Q>
yamEnd13	<Q>I also could've sworn we were all in uniform before too-<Q>
yamEnd14	*excited cheering*
yamEnd15	Boyfriend and Girlfriend quickly turn to Monika with very excited grins on their faces.
yamEnd16	<Q>Dee boop de skee!<Q>
yamEnd17	<Q>Wait...<Q>
yamEnd18	<Q>Is this... are we...<Q>
yamEnd19	They actually did it. They made it out of the game.
yamEnd20	Boyfriend gestured over to the nearby computer, and in his somehow comprehensible language of beeps and boops, told Monika that this was their gate in and out of their home world.
yamEnd21	Whenever her and the others wanted to visit, this was their ticket.
yamEnd22	Monika quickly became choked up with emotion. Words quickly failed her as she could not describe how overwhelmingly happy she was.
yamEnd23	<Q>I… I don’t know what to say-<Q>
yamEnd24	<Q>Thank you… Thank you so so much… For everything.<Q>
yamEnd25	A new world was out there for the Literature Club to explore. One of crazy possibilities. And somewhere out there is someone very important to Monika.
yamEnd26	<Q>I know you’re out there. There’s so much I need to tell you… So much I need to apologize for… and… and-<Q>
yamEnd27	<Q>Now that I have this chance… maybe you’ll give me a chance-<Q>
yamEnd28	<Q>-to learn to love in your reality.<Q>
