flag	content
cmnEasy	Fácil
cmnNormal	Normal
cmnHard	Difícil
cmnPB	Record Personal
cmnScore	Puntaje
cmnNPS	NPS
cmnMaxNPS	Max
cmnComboBreak	Quiebres de Combo
cmnMisses	Misses
cmnAccuracy	Precisión
cmnRating	Rating
cmnBotplay	Botplay
cmnClear	Completado
cmnOn	On
cmnOff	Off
cmnDesc	Descripción
cmnOffset	Offset (Izquierda or Derecha)
cmnAddOffset	Offset Agregado (Izquierda or Derecha): <X> - Añade un valor al desplazamiento global, por canción.
cmnCategory	Porfavor elije una categoría.
cmnPractice	Practice Mode
cmnLock	Locked
cmnSpeed	Speed
cmnCaching	Caching
cmnLanguage	Selección de Idioma
cmnDisableCaching	(pulsa D para desactivar el siguiente inicio)
cmnCachingFinish	Finished caching!
cmnWelcome	Welcome to Doki Doki Takeover!<N>This is a sequel to the Monika Full Week mod.<N><N>Have you played Monika Full Week?<N><N>Press Enter for yes, or Escape for no.
cmnDialogueSkip	Pulsa ESCAPE para saltar el dialogo.
