flag	content
cmnEasy	Makkelijk
cmnNormal	Normaal
cmnHard	Moelijk
cmnPB	Persoonlijk Record
cmnScore	Score
cmnNPS	NPS
cmnMaxNPS	Max
cmnComboBreak	Combo Breuken
cmnMisses	Misses
cmnAccuracy	Nauwkeurigheid
cmnRating	Rating
cmnBotplay	Botplay
cmnClear	Klaar
cmnOn	Aan
cmnOff	Uit
cmnDesc	Beschrijving
cmnOffset	Offset (Links of Rechts)
cmnAddOffset	Toegevoegde Offset (Links of Rechts): <X> - Voegt een waarde aan de globale offset toe, per lied.
cmnCategory	Selecteer een categorie.
cmnPractice	Practice Mode
cmnLock	Locked
cmnSpeed	Speed
cmnCaching	Caching
cmnLanguage	Kies een Taal
cmnDisableCaching	(druk op D om de volgende boot uit te schakelen)
cmnCachingFinish	Finished caching!
cmnWelcome	Welcome to Doki Doki Takeover!<N>This is a sequel to the Monika Full Week mod.<N><N>Have you played Monika Full Week?<N><N>Press Enter for yes, or Escape for no.
cmnDialogueSkip	Druk op ESCAPE om het gesprek over te slaan.
