flag	content
cmnEasy	Fácil
cmnNormal	Normal
cmnHard	Difícil
cmnPB	Melhor Pontuação Pessoal
cmnScore	Pontuação
cmnNPS	NPS
cmnMaxNPS	Máximo
cmnComboBreak	Erros
cmnMisses	Misses
cmnAccuracy	Precisão
cmnRating	Rating
cmnBotplay	Botplay
cmnClear	Limpar
cmnOn	Ligado
cmnOff	Desligado
cmnDesc	Descrição
cmnOffset	Offset (Esquerda ou Direita)
cmnAddOffset	Offset Additivo (Esquerda ou Direita): <X> - Adiciona valor ao offset global, por música.
cmnCategory	Por favor selecione uma categoria.
cmnPractice	Practice Mode
cmnLock	Locked
cmnSpeed	Speed
cmnCaching	Caching
cmnLanguage	Seleção de linguagem
cmnDisableCaching	(pressione D para desabilitar após iniciar o jogo na próxima vez)
cmnCachingFinish	Finished caching!
cmnWelcome	Welcome to Doki Doki Takeover!<N>This is a sequel to the Monika Full Week mod.<N><N>Have you played Monika Full Week?<N><N>Press Enter for yes, or Escape for no.
cmnDialogueSkip	Pressione ESCAPE para pular o diálogo.
