flag	content
cmnEasy	Легко
cmnNormal	Средне
cmnHard	Сложно
cmnPB	Лучший Счёт
cmnScore	Счёт
cmnNPS	НВС
cmnMaxNPS	Макс.
cmnComboBreak	Проваленных комбо
cmnMisses	Misses
cmnAccuracy	Точность
cmnRating	Rating
cmnBotplay	Botplay
cmnClear	Чистые попадания
cmnOn	Вкл.
cmnOff	Выкл.
cmnDesc	Описание
cmnOffset	Задержка (Влево или вправо)
cmnAddOffset	Доп. задержка (Влево или вправо): <X> - Добавляет задержку к нотам, применяется ко всем песням.
cmnCategory	Пожалуйста, выберите категорию.
cmnPractice	Practice Mode
cmnLock	Locked
cmnSpeed	Speed
cmnCaching	Кэшинг
cmnLanguage	Выбор языка
cmnDisableCaching	(нажмите D чтобы отключить при следующей загрузке)
cmnCachingFinish	Finished caching!
cmnWelcome	Welcome to Doki Doki Takeover!<N>This is a sequel to the Monika Full Week mod.<N><N>Have you played Monika Full Week?<N><N>Press Enter for yes, or Escape for no.
cmnDialogueSkip	Нажмите ESCAPE чтобы пропустить диалог.
